0.056,0.981,0.156
29.025,0.052,0.986,0.153
29.077,0.053,0.983,0.157
29.129,0.051,0.987,0.144
29.181,0.054,0.976,0.161
29.234,0.052,0.970,0.161
29.286,0.047,0.979,0.151
29.338,0.049,0.982,0.150
29.390,0.056,0.975,0.157
29.443,0.056,0.980,0.152
29.495,0.052,0.986,0.151
29.547,0.052,0.982,0.158
29.599,0.049,0.982,0.156
29.651,0.056,0.978,0.157
29.704,0.050,0.978,0.153
29.756,0.049,0.975,0.159
29.808,0.046,0.987,0.173
29.860,0.055,0.990,0.150
29.913,0.047,0.981,0.157
29.965,0.062,0.969,0.147
30.017,0.050,0.991,0.163
30.069,0.062,0.978,0.147
30.121,0.046,0.979,0.157
30.174,0.053,0.988,0.156
30.226,0.048,0.980,0.164
30.278,0.051,0.982,0.158
30.330,0.047,0.982,0.156
30.383,0.053,0.983,0.159
30.435,0.045,0.978,0.165
30.487,0.051,0.981,0.157
30.539,0.046,0.983,0.158
30.592,0.044,0.980,0.159
30.644,0.055,0.980,0.167
30.696,0.055,0.975,0.167
30.748,0.052,0.978,0.163
30.800,0.057,0.984,0.165
30.853,0.052,0.981,0.160
30.905,0.057,0.979,0.167
30.957,0.048,0.977,0.164
31.009,0.049,0.981,0.163
31.062,0.044,0.979,0.162
31.114,0.052,0.984,0.163
31.166,0.053,0.980,0.165
31.218,0.052,0.982,0.159
31.270,0.045,0.987,0.160
31.323,0.049,0.978,0.157
31.375,0.053,0.989,0.156
31.427,0.047,0.984,0.159
31.479,0.047,0.984,0.150
31.532,0.056,0.980,0.161
31.584,0.052,0.981,0.159
31.636,0.052,0.987,0.168
31.688,0.049,0.975,0.155
31.740,0.052,0.984,0.163
31.793,0.050,0.978,0.157
31.845,0.047,0.981,0.156
31.897,0.049,0.982,0.159
31.949,0.051,0.979,0.155
32.002,0.045,0.986,0.159
32.054,0.045,0.980,0.155
32.106,0.048,0.982,0.162
32.158,0.047,0.980,0.162
32.210,0.052,0.982,0.155
32.263,0.048,0.980,0.163
32.315,0.050,0.986,0.164
32.367,0.052,0.978,0.155
32.419,0.050,0.979,0.163
32.472,0.056,0.979,0.167
32.524,0.053,0.986,0.156
32.628,0.045,0.979,0.155
32.733,0.051,0.980,0.159
32.837,0.051,0.977,0.159
33.046,0.053,0.984,0.169
33.098,0.052,0.981,0.164
33.150,0.055,0.978,0.163
33.203,0.049,0.990,0.158
33.255,0.054,0.982,0.163
33.307,0.051,0.989,0.162
33.359,0.046,0.982,0.159
33.412,0.050,0.978,0.160
33.464,0.047,0.988,0.156
33.516,0.051,0.982,0.165
33.568,0.047,0.983,0.157
33.620,0.052,0.987,0.155
33.673,0.048,0.984,0.166
33.725,0.051,0.987,0.165
33.777,0.053,0.981,0.159
33.829,0.057,0.980,0.166
33.882,0.048,0.986,0.159
33.934,0.050,0.982,0.161
33.986,0.050,0.979,0.155
34.091,0.052,0.984,0.158
34.143,0.053,0.977,0.156
34.247,0.048,0.975,0.172
34.404,0.054,0.979,0.153
34.508,0.052,0.981,0.154
34.561,0.048,0.981,0.159
34.613,0.045,0.976,0.162
34.665,0.052,0.984,0.161
34.769,0.052,0.979,0.163
34.822,0.049,0.981,0.161
34.874,0.047,0.975,0.166
34.926,0.051,0.987,0.164
34.978,0.057,0.979,0.149
35.031,0.048,0.984,0.167
35.083,0.046,0.982,0.154
35.135,0.048,0.979,0.165
35.187,0.047,0.986,0.158
35.239,0.049,0.985,0.165
35.292,0.046,0.983,0.161
35.344,0.045,0.983,0.167
35.396,0.050,0.981,0.164
35.448,0.049,0.978,0.161
35.501,0.055,0.987,0.162
35.553,0.055,0.984,0.161
35.605,0.042,0.980,0.166
35.709,0.049,0.978,0.165
35.762,0.047,0.982,0.161
35.814,0.053,0.981,0.156
35.866,0.053,0.983,0.162
35.918,0.048,0.979,0.163
35.971,0.056,0.979,0.158
36.023,0.055,0.980,0.156
36.075,0.053,0.980,0.158
36.127,0.050,0.981,0.162
36.179,0.049,0.978,0.166
36.232,0.048,0.981,0.161
36.284,0.046,0.984,0.157
36.336,0.047,0.976,0.162
36.388,0.046,0.983,0.164
36.441,0.052,0.984,0.158
36.493,0.049,0.976,0.167
36.545,0.051,0.983,0.159
36.597,0.051,0.980,0.162
36.649,0.051,0.981,0.155
36.702,0.052,0.977,0.168
36.754,0.052,0.983,0.164
36.806,0.049,0.981,0.154
36.858,0.051,0.984,0.160
36.911,0.048,0.983,0.161
36.963,0.055,0.979,0.162
37.015,0.049,0.990,0.170
37.067,0.047,0.981,0.165
37.120,0.050,0.977,0.162
37.172,0.050,0.986,0.150
37.224,0.055,0.981,0.165
37.276,0.050,0.980,0.165
37.328,0.055,0.985,0.165
37.381,0.051,0.977,0.160
37.433,0.047,0.982,0.166
37.485,0.053,0.984,0.165
37.537,0.047,0.980,0.155
37.590,0.050,0.980,0.166
37.642,0.053,0.980,0.161
37.694,0.054,0.985,0.164
37.746,0.051,0.979,0.161
37.798,0.050,0.985,0.165
37.851,0.052,0.988,0.160
37.903,0.049,0.983,0.153
37.955,0.053,0.986,0.162
38.007,0.051,0.983,0.166
38.060,0.050,0.979,0.157
38.112,0.047,0.977,0.166
38.164,0.051,0.981,0.154
38.216,0.052,0.988,0.157
38.268,0.051,0.984,0.164
38.321,0.046,0.981,0.160
38.373,0.054,0.983,0.168
38.425,0.045,0.983,0.162
38.477,0.051,0.985,0.159
38.530,0.052,0.982,0.158
38.582,0.044,0.979,0.167
38.634,0.054,0.982,0.164
38.686,0.049,0.979,0.164
38.738,0.048,0.977,0.159
38.791,0.052,0.981,0.163
38.843,0.052,0.980,0.164
38.895,0.056,0.978,0.161
38.947,0.044,0.980,0.158
39.000,0.047,0.978,0.156
39.052,0.051,0.987,0.165
