-0.969,0.021,-0.096
445.666,-0.968,0.017,-0.093
445.852,-0.973,0.019,-0.101
446.038,-0.971,0.019,-0.092
446.223,-0.972,0.017,-0.099
446.408,-0.970,0.014,-0.094
446.594,-0.971,0.015,-0.089
446.779,-0.964,0.017,-0.092
446.965,-0.969,0.020,-0.094
447.151,-0.968,0.013,-0.094
447.336,-0.973,0.019,-0.096
447.521,-0.970,0.017,-0.096
447.707,-0.969,0.016,-0.093
447.892,-0.971,0.015,-0.102
448.078,-0.974,0.019,-0.094
448.264,-0.975,0.020,-0.092
448.449,-0.972,0.021,-0.094
448.634,-0.974,0.018,-0.089
448.820,-0.968,0.018,-0.103
449.005,-0.972,0.023,-0.094
449.191,-0.967,0.018,-0.098
449.377,-0.974,0.016,-0.086
449.562,-0.973,0.019,-0.093
449.747,-0.963,0.014,-0.093
449.933,-0.967,0.021,-0.097
450.118,-0.968,0.018,-0.089
450.305,-0.975,0.020,-0.098
450.490,-0.975,0.019,-0.105
450.675,-0.969,0.014,-0.094
450.861,-0.978,0.010,-0.097
451.046,-0.974,0.017,-0.091
451.231,-0.968,0.016,-0.098
451.418,-0.967,0.019,-0.096
451.603,-0.973,0.017,-0.094
451.788,-0.975,0.015,-0.088
451.974,-0.971,0.016,-0.098
452.159,-0.972,0.018,-0.102
452.344,-0.969,0.015,-0.086
452.531,-0.970,0.016,-0.094
452.716,-0.969,0.018,-0.080
452.901,-0.975,0.014,-0.095
453.087,-0.969,0.015,-0.092
453.272,-0.967,0.020,-0.102
453.457,-0.969,0.019,-0.094
453.644,-0.965,0.016,-0.146
453.829,-0.965,0.020,-0.101
454.014,-0.969,0.020,-0.097
454.200,-0.976,0.023,-0.097
454.385,-0.969,0.016,-0.123
454.571,-0.960,0.024,-0.087
454.757,-0.967,0.023,-0.084
454.942,-0.972,0.014,-0.099
455.128,-0.962,0.016,-0.103
455.313,-0.969,0.015,-0.091
455.498,-0.965,0.018,-0.083
455.684,-0.971,0.019,-0.097
455.870,-0.966,0.016,-0.122
456.055,-0.975,0.018,-0.105
456.241,-0.971,0.020,-0.100
456.426,-0.930,-0.003,0.003
456.611,-0.930,0.035,-0.279
456.797,-0.924,0.017,0.504
456.982,-0.937,0.033,0.064
457.166,-0.964,0.005,0.113
457.351,-0.969,0.010,0.055
457.535,-0.964,0.026,-0.332
457.720,-0.967,0.018,-0.189
457.906,-0.972,0.008,-0.052
458.091,-0.972,0.012,-0.106
458.277,-0.964,0.019,-0.156
458.463,-0.983,0.016,-0.105
458.648,-0.973,0.013,-0.075
458.833,-0.969,0.010,-0.119
459.019,-0.968,0.015,-0.110
459.204,-0.967,0.021,-0.090
459.390,-0.968,0.015,-0.085
459.576,-0.965,0.017,-0.103
459.761,-0.966,0.017,-0.111
459.947,-0.970,0.023,-0.080
460.132,-0.965,0.016,-0.107
460.317,-0.969,0.021,-0.087
460.504,-0.976,0.018,-0.075
460.689,-0.965,0.015,-0.120
460.874,-0.964,0.020,-0.061
461.060,-0.969,0.019,-0.092
461.245,-0.969,0.019,-0.069
461.430,-0.971,0.011,-0.110
461.617,-0.962,0.015,-0.078
461.802,-0.972,0.015,-0.080
461.987,-0.973,0.024,-0.082
462.173,-0.973,0.009,-0.096
462.358,-0.970,0.024,-0.092
462.543,-0.972,0.022,-0.088
462.730,-0.979,0.021,-0.105
462.915,-0.968,0.021,-0.092
463.100,-0.971,0.017,-0.085
463.286,-0.970,0.011,-0.101
463.471,-0.967,0.024,-0.110
463.656,-0.970,0.020,-0.088
463.843,-0.974,0.026,-0.086
464.028,-0.972,0.023,-0.114
464.214,-0.963,0.021,-0.119
464.399,-0.977,0.018,-0.085
464.584,-0.980,0.016,-0.094
464.770,-0.967,0.016,-0.091
464.956,-0.974,0.019,-0.071
465.141,-0.969,0.016,-0.079
465.327,-0.982,0.022,-0.104
