0.975,-0.019,-0.074
122.736,-0.975,-0.023,-0.085
122.792,-0.973,-0.019,-0.081
122.849,-0.967,-0.020,-0.091
122.905,-0.961,-0.030,-0.083
122.962,-0.973,-0.017,-0.080
123.019,-0.973,-0.020,-0.082
123.075,-0.971,-0.021,-0.082
123.131,-0.974,-0.022,-0.087
123.189,-0.971,-0.024,-0.079
123.245,-0.969,-0.025,-0.087
123.301,-0.969,-0.024,-0.084
123.358,-0.969,-0.025,-0.087
123.415,-0.969,-0.018,-0.085
123.471,-0.980,-0.021,-0.089
123.528,-0.972,-0.027,-0.074
123.584,-0.964,-0.023,-0.087
123.641,-0.968,-0.023,-0.087
123.698,-0.968,-0.028,-0.086
123.754,-0.971,-0.025,-0.082
123.810,-0.968,-0.023,-0.082
123.868,-0.976,-0.022,-0.089
123.924,-0.965,-0.020,-0.079
123.980,-0.968,-0.025,-0.085
124.037,-0.969,-0.022,-0.087
124.094,-0.968,-0.025,-0.087
124.150,-0.974,-0.026,-0.087
124.207,-0.971,-0.021,-0.078
124.263,-0.970,-0.025,-0.090
124.320,-0.969,-0.020,-0.082
124.377,-0.969,-0.026,-0.088
124.433,-0.970,-0.019,-0.078
124.489,-0.969,-0.030,-0.090
124.547,-0.972,-0.023,-0.094
124.603,-0.969,-0.031,-0.083
124.659,-0.965,-0.022,-0.087
124.716,-0.967,-0.020,-0.084
124.773,-0.977,-0.023,-0.092
124.829,-0.975,-0.024,-0.083
124.886,-0.974,-0.025,-0.083
124.942,-0.969,-0.022,-0.088
124.999,-0.965,-0.018,-0.081
125.056,-0.974,-0.023,-0.079
125.112,-0.978,-0.023,-0.092
125.168,-0.968,-0.021,-0.082
125.225,-0.972,-0.024,-0.083
125.282,-0.968,-0.023,-0.083
125.338,-0.970,-0.024,-0.085
125.394,-0.970,-0.021,-0.085
125.452,-0.979,-0.025,-0.082
125.508,-0.965,-0.025,-0.091
125.564,-0.969,-0.029,-0.085
125.621,-0.959,-0.027,-0.092
125.678,-0.973,-0.024,-0.083
125.734,-0.963,-0.023,-0.088
125.791,-0.972,-0.024,-0.077
125.847,-0.974,-0.016,-0.100
125.904,-0.966,-0.025,-0.087
125.961,-0.966,-0.018,-0.088
126.017,-0.966,-0.025,-0.088
126.073,-0.970,-0.026,-0.082
126.130,-0.969,-0.026,-0.085
126.187,-0.967,-0.021,-0.079
126.243,-0.970,-0.024,-0.097
126.300,-0.969,-0.030,-0.094
126.356,-0.968,-0.021,-0.078
126.413,-0.971,-0.021,-0.097
126.470,-0.979,-0.026,-0.087
126.526,-0.963,-0.022,-0.076
126.582,-0.969,-0.015,-0.086
126.640,-0.967,-0.024,-0.075
126.696,-0.972,-0.029,-0.079
126.752,-0.969,-0.024,-0.086
126.809,-0.974,-0.021,-0.088
126.866,-0.977,-0.019,-0.090
126.922,-0.971,-0.029,-0.093
126.979,-0.960,-0.022,-0.088
127.035,-0.972,-0.022,-0.078
127.092,-0.968,-0.019,-0.079
127.149,-0.966,-0.035,-0.067
127.205,-0.973,-0.025,-0.063
127.261,-0.969,-0.025,-0.077
127.319,-0.973,-0.021,-0.088
127.375,-0.970,-0.029,-0.065
127.431,-0.929,0.002,-0.124
127.486,-0.982,-0.032,-0.235
127.544,-0.953,0.000,-0.096
127.599,-0.977,-0.010,-0.048
127.655,-0.979,-0.026,-0.069
127.712,-0.975,-0.028,-0.038
127.768,-0.973,-0.025,-0.102
127.825,-0.972,-0.025,-0.058
127.882,-0.971,-0.021,-0.098
127.938,-0.971,-0.016,-0.144
127.995,-0.971,-0.023,-0.080
128.052,-0.967,-0.022,-0.103
128.108,-0.974,-0.022,-0.098
128.164,-0.972,-0.020,-0.116
128.222,-0.973,-0.017,-0.063
128.278,-0.967,-0.016,-0.085
128.334,-0.974,-0.015,-0.090
128.391,-0.972,-0.027,-0.082
128.448,-0.967,-0.021,-0.086
128.504,-0.969,-0.028,-0.089
128.561,-0.969,-0.023,-0.069
128.617,-0.968,-0.019,-0.100
128.674,-0.966,-0.026,-0.087
128.731,-0.969,-0.019,-0.074
128.787,-0.973,-0.020,-0.095
128.843,-0.969,-0.021,-0.092
128.901,-0.964,-0.021,-0.084
128.957,-0.974,-0.020,-0.082
129.013,-0.971,-0.016,-0.087
129.070,-0.969,-0.025,-0.089
129.126,-0.967,-0.024,-0.077
129.183,-0.967,-0.026,-0.079
129.240,-0.970,-0.022,-0.093
129.296,-0.968,-0.023,-0.080
129.352,-0.967,-0.028,-0.084
129.410,-0.968,-0.022,-0.085
129.466,-0.972,-0.022,-0.085
129.522,-0.968,-0.025,-0.080
129.579,-0.972,-0.014,-0.088
129.636,-0.973,-0.028,-0.086
129.692,-0.975,-0.023,-0.090
129.748,-0.972,-0.019,-0.086
129.805,-0.963,-0.022,-0.088
129.862,-0.968,-0.020,-0.080
129.918,-0.969,-0.020,-0.090
129.975,-0.966,-0.023,-0.095
130.031,-0.965,-0.011,-0.105
130.088,-0.975,-0.021,-0.142
130.145,-0.967,-0.020,-0.084
